Year,"Agricultural soils: Animal production, dung and urine",Agricultural soils: Direct Soil Emissions (biogenic),Agricultural soils: Indirect leaching and runoff,Chemical Application,Crop Management,Cultivation,Electricity Use livestock,Fertiliser production,Fodder production,Fuel Use livestock,Harvesting,Irrigation,Livestock Enteric Fermentation (biogenic),Livestock Manure Management (biogenic),Pasture Seed production,Pesticide production,Sowing
2010,4.433428700008393,2.7486158869332664,2.7155013232363463,1.8637020013961796,0.03258934836706519,0.877268312080845,0.42419813347530366,5.3500663423597805,1.4573687149884944,5.984283024066434,0.3760521283593476,0.27673083430004114,55.524863714462285,0.32997065642377593,4.675661380761691,2.4779868948783874,0.9636155072521269
2011,4.404331434841934,2.6074509997480972,2.670183204872322,1.8121455411700405,0.028053967817934563,0.8393624978067749,0.42737198361720663,5.127251878463868,1.4331744422762323,5.968361910525836,0.36025325734781655,0.21358702194281282,55.115737897996375,0.32614816149149084,4.696005056799137,2.3833118528426738,0.9516178418412204
2012,4.408600874150877,2.6277173785848675,2.6647889598764336,1.812478183349413,0.02784404333344119,0.8432394024064942,0.4297962629966179,5.131940798718278,1.4340297689394925,5.936381328771612,0.36003617159352486,0.211963777695271,55.21389832221524,0.32582652742960183,4.734634268082012,2.3842995819268067,0.9523668575885665
2013,4.41445053713677,2.655418323207447,2.6595440175433813,1.8138177083252183,0.02781942040115286,0.8460888692613288,0.4277794055230628,5.1418751043498965,1.43907757230166,5.903071344138143,0.35993165616388595,0.2125133817619313,55.3487560660363,0.32561844397833223,4.77418399713308,2.3848992665692292,0.9534349540132192
2014,4.419503298281985,2.6659009002260565,2.654321151737271,1.8151693690646815,0.027591998452838242,0.8446693950751969,0.42301228234034083,5.144362277992445,1.4438427046308586,5.8685216318996,0.35957810048884703,0.21095816671273143,55.480785406703625,0.32434903972718626,4.81225043805145,2.386236003516851,0.955296487276192
2015,4.42207096747476,2.68084567372641,2.64575261181039,1.8174906022568964,0.027465014585411132,0.84518421120755,0.4093207512326273,5.151906764651966,1.4450033283075707,5.829157159877486,0.359561057838119,0.21004990511576513,55.58252157522896,0.3221997530643699,4.850470539033779,2.3894355291332037,0.9574145329535703
2016,4.422809230807238,2.7101781217267833,2.6359322727691876,1.8195698426399016,0.027338327376345315,0.8495236387129653,0.3880490621966202,5.164026008702309,1.4444020788762435,5.782938579790236,0.359190387805639,0.21049487949358386,55.64128164891353,0.31917954812171057,4.890401261103344,2.3921375244667296,0.9593012811293036
2017,4.421879718335745,2.720110804512837,2.6280078167559426,1.821133467594501,0.02701323225477948,0.8513069254377157,0.3773247416289932,5.16747396252407,1.4441759263564917,5.730162823306377,0.3584656311494088,0.20881262108934626,55.62122924840308,0.3174127041875027,4.929860987829771,2.39215982929658,0.960861568027557
2018,4.421158570821448,2.730494286356883,2.6198360481338097,1.8217904717011562,0.026676507651666105,0.8496629235785798,0.3661676833578348,5.16833218412576,1.4436085084214547,5.686434652304581,0.35791697429615804,0.20722582407154203,55.63238532124788,0.31566171349045524,4.967083827804183,2.390469814621837,0.9618593139617793
2019,4.420970566404041,2.7422653346782955,2.6114096047439808,1.8242245864633477,0.026531663416060707,0.8498553145240535,0.356247701819483,5.179372282077461,1.4465201702370325,5.646989791993796,0.3580813448418618,0.20724526624733405,55.667134953867404,0.3161888481810967,5.004032611935538,2.392656926837049,0.9632802993666633
2020,4.422815884961488,2.7525317294191947,2.6037298124336785,1.8263448000224023,0.026331137778249827,0.8505079322489494,0.35103694726459633,5.1841048393968485,1.450114751888607,5.600395496382246,0.35754417601833527,0.2062729051864305,55.721615611324125,0.3160090225384059,5.043818982814439,2.3936465776903724,0.9649259372209616
2021,4.407982296528896,2.7913984610282534,2.593910355333125,1.8333330443619085,0.026112634970428636,0.8544394120900644,0.3394037646679075,5.207027388562009,1.4448725409168404,5.5874661592747,0.35800336872608,0.20923215320728922,55.54096908576863,0.31276914167553643,5.042626044820836,2.400475288695238,0.9701078474686391
2022,4.396096488438752,2.830373823700334,2.5851782398043603,1.8410445854436133,0.025775977955320533,0.8557226119747707,0.334670183729584,5.226418597130765,1.4415515897523596,5.578838413897981,0.35929020164362924,0.21039370936796917,55.40444560767573,0.3113559950758539,5.043117679679104,2.406922410006908,0.9754183402273251
2023,4.379399925038738,2.892160148174592,2.5775399676364783,1.8469250352591957,0.025564927334733426,0.8593775751298127,0.32121703141139013,5.249783614620023,1.4334675820090363,5.562533044543551,0.3600972633980252,0.2170857908635852,55.17316812102471,0.3071597504282623,5.036014616999793,2.4121401136310423,0.9794921687188499
2024,4.3651686814024995,2.9473338619992018,2.5732470092031283,1.8525072178729738,0.02551201051686503,0.8611158188505209,0.3240003476900387,5.2692818304168565,1.4290881161333955,5.560656210447382,0.3615361474097206,0.22500097273376998,54.963622354097254,0.3063816167644791,5.030537073509353,2.4188572406415236,0.9840507816816895
2025,4.352883693974933,2.9788775523025626,2.5647229951397668,1.8610515494153443,0.02539614919696437,0.8649381180889935,0.31374275902979837,5.2917005822197805,1.4220687266308516,5.544211153345419,0.3657164262045185,0.22905677116201306,54.81084519045809,0.30159164915603,5.014413467300846,2.4364378973261545,0.9885530617730802
2026,4.3438865603252665,3.031321826879749,2.55849077550743,1.865343870183693,0.02516386097268457,0.8805895007380448,0.3127108923549981,5.323067541639145,1.4189801399784865,5.54503048984055,0.367372121594526,0.23779543161760386,54.70106416323727,0.30145711904785044,5.0150336643871904,2.4449264054348814,0.99227362142192
2027,4.323454902045409,3.044950090746571,2.548634546906146,1.8747300473217614,0.025097400213809885,0.8845237829284809,0.3114870038920593,5.335051982799245,1.4094912674404707,5.5347446067789114,0.3748791228163722,0.23679335933580545,54.428914633191305,0.29679641761912645,4.985696473811308,2.470058227681012,0.9957635309450616
2028,4.307048660135518,3.072811587753401,2.5438704980871267,1.8778452338063105,0.02502039108876294,0.8822971282167902,0.30019233612134677,5.3552805485852994,1.4014715532827415,5.501199788091724,0.37401704990365714,0.2370108873524151,54.17412881747108,0.2919129578883678,4.97626981456257,2.4747513550210507,1.000957106576556
2029,4.278620723315972,3.101331065746464,2.5352530164748455,1.8834193663058598,0.024800505498521877,0.8725129690788508,0.29348385901599816,5.368246895651261,1.3931771082930482,5.472765833258072,0.37543099642405614,0.23677919401743014,53.73653295091505,0.2861668780387837,4.954359611310391,2.4819357366381487,1.0053047572696692
2030,4.247581272067634,3.09869219300143,2.526654954185946,1.8882344503542134,0.024817729933930808,0.870648237298924,0.2934823070130348,5.3956464934461135,1.382739579151627,5.462761587253256,0.3774479827989716,0.23433752088318083,53.360055601381234,0.2839065530975725,4.916102136003978,2.4906416189479352,1.0088684355205797
2031,4.240870096441931,3.110026390599804,2.5239297699799863,1.8991576939499748,0.02485259170405376,0.8733180461695406,0.29250104795699916,5.433028729176972,1.3807128080655828,5.459565376622393,0.38001266379690324,0.23337180502922483,53.25109811261169,0.28387664862673573,4.915122759552855,2.5104895149126616,1.0158714539887301
2032,4.232526946114623,3.125742859938697,2.515833319776406,1.9046589618033718,0.02477051093316555,0.8746095526902593,0.29280395510295487,5.451544333802931,1.3781963159714719,5.463712334293525,0.38132929764422246,0.23266590790651423,53.16381835075624,0.28438101625856754,4.917792710035656,2.521050310861204,1.0198617719559715
2033,4.220958590111049,3.1368258864978134,2.5018760703613374,1.9089325813240916,0.02469378433794533,0.8747016524593013,0.29902257070634786,5.462819532301468,1.374603552958535,5.493411876293761,0.382541352383268,0.2320731344460722,53.07566611426687,0.2843111059356187,4.914802122056314,2.5278951077604037,1.0229360452177791
2034,4.212037637334084,3.1568204357226133,2.4932307613906097,1.91484590517158,0.024704921305974327,0.8775674774702701,0.2996265400919918,5.485185489458354,1.3714038994443647,5.498572319407349,0.38395935389020364,0.23210433346622653,52.96749773708978,0.2851326000320269,4.91909341056809,2.5383622353673334,1.0269534320214995
2035,4.17948195029981,3.114976017725973,2.48176510777804,1.908180511572291,0.02434046324215549,0.8629771067552281,0.3048702545802343,5.456930091380511,1.3563641905614223,5.50374908544482,0.3835185382728976,0.22953085642977966,52.55970235528654,0.2795073834734081,4.8871342333809675,2.5208718117552467,1.0234503846576732
2036,4.131496178450099,3.106632957244753,2.4694921072476497,1.9049896309153884,0.02442037199639307,0.8546725257328781,0.29482614215684744,5.465391617317127,1.3406377562913174,5.468647269152072,0.38386031350884553,0.22717273364145138,51.977451404884924,0.2776179952412186,4.842382192407073,2.517844850692709,1.0220838272685016
2037,4.087614486071182,3.070820941062642,2.455787636715839,1.9068793189893618,0.024381753805887942,0.8446497848971186,0.294391693942944,5.456792048566854,1.323469594314131,5.456110255532588,0.3848337016355411,0.22383075201249314,51.432795753333444,0.27308290607006325,4.811046546578272,2.5102542587268752,1.0233304379038517
2038,4.047195236262839,3.0682930200078053,2.444145601154997,1.9012550968208015,0.02435367855430725,0.8374314845770893,0.29249418259277227,5.449770811454183,1.3109629636713345,5.442939739432089,0.38534295137401847,0.219794816045441,50.951639168757055,0.27354772507520553,4.775865926797411,2.5073973711308457,1.021484060498638
2039,4.005421975714989,3.0603326301445946,2.425761015943202,1.8969274555400966,0.02494917394301159,0.8190273615126268,0.2954854798303382,5.423696110726377,1.295322549506732,5.4360932483190645,0.38466750081348405,0.21218318115880092,50.45786879113811,0.27154006671299946,4.7395688982343644,2.4996472101638507,1.019061181024684
2040,3.9627766819909307,3.0486306485467445,2.4129793824224217,1.8834957779698849,0.024770699174775545,0.8039072244241346,0.30108392669689166,5.385983579774786,1.2842833833262968,5.447071450407108,0.38380671416619744,0.2083544152842735,49.92171018200501,0.27686649824237486,4.706059615804541,2.479837277139003,1.013005650318884
2041,3.9311205608618485,3.0508776853918746,2.402277082329383,1.8792725088425801,0.024523317605415255,0.7998497584644245,0.30438897332976894,5.383144158936992,1.272194262969195,5.457671763969896,0.3870239398470779,0.20680051513470196,49.536489236157266,0.27629395920564837,4.684480838798685,2.4814495522596323,1.0100580202799592
2042,3.896590911864008,3.036854508698429,2.398856540641056,1.8640261266073506,0.02416838727159195,0.7958122338844744,0.29870787708676494,5.333640037728908,1.2642178450970232,5.429736360500439,0.3935606015265437,0.20407778966464898,49.0541413022364,0.2742003655659846,4.65839913978265,2.487652018868993,1.001765378831521
2043,3.862006476106851,3.0263769454269687,2.391155873669124,1.8472254414798317,0.023894924145318245,0.7964573805784068,0.3086223191939136,5.283884982200338,1.2505907184334544,5.42469645684448,0.40334857489657844,0.20119078760159634,48.59148635595344,0.27118030942656524,4.636209273894873,2.5033450957941734,0.9904133258803489
2044,3.8290095759240024,2.977573205232167,2.3904929942860127,1.8190061751506519,0.023815506873043936,0.7810913000340741,0.3200689473400429,5.192343404394335,1.2444294911417328,5.449119618432656,0.40501071384408843,0.19605196871380437,48.120086776392604,0.2752494325191022,4.595088617476876,2.4983720789852373,0.977480998263277
2045,3.7941708968054835,2.9453496198843854,2.388435359682473,1.7850563918866897,0.023440477822227468,0.7646864864463543,0.345356407764058,5.102733340102258,1.234137063039415,5.483271640989613,0.40394229351820743,0.1899081504990958,47.63387540685933,0.27633240645943646,4.541814578848239,2.481869292543424,0.9605686955526057
2046,3.7536763361802628,2.9218141387242444,2.3909450418567184,1.7451615131206042,0.02357707909519835,0.7583909040682595,0.36289832283195944,5.033235710757038,1.2371626324858436,5.511107430887694,0.3981686532423088,0.18121412100341422,47.08731854523862,0.2842555732712869,4.487993400902097,2.4514973190752842,0.9408584301202194
2047,3.716417390285141,2.878921703565748,2.390019476152354,1.6739099712390222,0.02323618825075407,0.7477210676313036,0.39858563333650154,4.917854825288981,1.237610029395353,5.5480965749280955,0.3868286808683571,0.17914492035428803,46.57843822148151,0.28939545989949467,4.408336350537977,2.397497187275264,0.9065634868348005
2048,3.6791102196382965,2.817859446502073,2.3970727276939745,1.5750156189448725,0.0229789496200279,0.7477281392728998,0.4215024122698373,4.759827559111603,1.2406806571981157,5.5936608117664175,0.37793109947224923,0.17647231361349802,46.039101686978825,0.2999299883662176,4.32525828246419,2.34224971063359,0.8583482328555341
2049,3.646427714567049,2.7611168613231434,2.404517268421176,1.470476876336185,0.022782668080036966,0.756606323559573,0.4573229158410439,4.5784924253996735,1.24229308712007,5.667581955077005,0.3717810814097209,0.17383581167268972,45.56203650982845,0.31082317785354424,4.237389947168093,2.3066072989625477,0.8036163566077459
2050,3.627918164238561,2.7418578080493283,2.416584308741631,1.4145519174627634,0.022820138042242945,0.7644792514050357,0.47782785845068226,4.519258235188885,1.2485141026190527,5.682023423205671,0.3736207256846534,0.17184688291950453,45.22848490017353,0.3189489349032673,4.135029840962883,2.316281700737913,0.7729844778307896
